,id,Lng,Lat,Cid,tradeTime,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,floor,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district,communityAverage
40242,101100644636,116.434144,39.892211,1111027374239,2016-11-13,52,830.0,74917,110.79,3,1,1,1,6,4.0,1996,3,2,0.333,0.0,1.0,1.0,1,85681.0
61751,101101134784,116.32616,40.046586,1111027381904,2017-03-07,54,845.0,75541,111.86,2,2,1,2,9,4.0,2001,4,6,0.5,0.0,1.0,0.0,8,64123.0
80144,101101779101,116.488446,39.893803,1111027382491,2017-09-04,40,802.0,86713,92.49,2,1,1,1,15,3.0,2008,4,6,0.333,1.0,1.0,1.0,7,87366.0
149774,BJCY87288734,116.476868,40.012847,1111027380303,2014-08-17,6,260.0,31592,82.3,2,1,1,2,24,1.0,2000,1,6,0.25,1.0,1.0,1.0,7,67092.0
305848,BJXC88207942,116.370793,39.899434,1111027376337,2015-03-11,19,315.0,46869,67.21,2,1,1,1,6,4.0,1992,3,2,0.25,0.0,1.0,1.0,10,84519.0
255810,BJHD88553402,116.309984,39.96579,1111027376611,2015-03-11,13,284.5,47496,59.9,2,1,1,1,6,4.0,1996,3,2,0.5,0.0,1.0,0.0,8,88754.0
257366,BJHD88974251,116.298736,39.934527,1111027376013,2015-03-14,1,337.5,46044,73.3,3,1,1,1,6,4.0,1992,1,2,0.5,0.0,1.0,1.0,8,80645.0
315687,BJXC91632472,116.38037,39.958917,1111027381260,2016-02-28,3,720.0,94862,75.9,3,1,1,1,6,4.0,1989,4,2,0.333,0.0,0.0,1.0,10,130740.0
165549,BJCY89154966,116.503578,39.961829,1111027378611,2015-07-16,19,185.0,34496,53.63,2,1,1,1,6,4.0,1985,4,2,0.333,0.0,1.0,1.0,7,54832.0
170482,BJCY89608992,116.498691,39.922943,1111027377597,2015-09-04,5,389.0,50343,77.27,1,2,1,1,24,4.0,未知,4,6,0.5,1.0,0.0,0.0,7,84945.0
117865,BJCP91857827,116.328035,40.078668,1111027378235,2016-04-28,13,320.0,30945,103.41,2,1,1,1,5,4.0,未知,3,2,0.5,0.0,1.0,1.0,6,46352.0
136752,BJCY85482177,116.600019,40.057533,1111027376036,2013-03-26,1,216.0,21727,99.42,3,2,1,1,6,4.0,1996,1,4,0.5,0.0,1.0,0.0,7,40931.0
257871,BJHD89078839,116.265725,40.057734,1111027382464,2015-04-18,20,600.0,48960,122.55,3,2,1,2,11,4.0,2004,4,6,0.5,1.0,1.0,1.0,8,78956.0
227990,BJFT87079182,116.285444,39.9002,1111027377405,2014-10-07,10,306.5,31228,98.15,2,1,1,1,22,1.0,2002,3,6,0.3,1.0,1.0,0.0,2,51741.0
