id,time,lng,lat,district,subway,price_per_square,total_price,year,month
101092319877,2016-06-16,116.291025,39.821878,2,0.0,41138,337.0,2016,2016-06
BJCY91827403,2016-03-25,116.457526,39.8764,7,1.0,28729,240.0,2016,2016-03
BJFT88487986,2015-09-08,116.325575,39.88657,2,1.0,44354,500.0,2015,2015-09
101100941107,2017-02-23,116.119651,39.934504,12,0.0,40378,325.0,2017,2017-02
BJDX91627473,2016-03-08,116.463733,39.811605,4,1.0,43151,378.0,2016,2016-03
101100484382,2016-08-31,116.487181,39.933685,7,1.0,49445,267.0,2016,2016-08
BJFT91908315,2016-05-04,116.295938,39.873528,2,1.0,40840,282.0,2016,2016-05
BJCY90395165,2015-12-22,116.413621,40.013277,7,1.0,37468,355.0,2015,2015-12
BJCY87732446,2015-12-20,116.529599,39.950025,7,0.0,50368,940.0,2015,2015-12
BJDX89002538,2015-04-04,116.339906,39.781801,4,1.0,27526,183.9,2015,2015-04
101100467298,2016-09-06,116.512182,39.928407,7,1.0,49747,294.5,2016,2016-09
BJXC88983140,2015-04-04,116.340473,39.886963,10,1.0,46688,148.0,2015,2015-04
101101062949,2017-01-20,116.472064,39.88768,7,1.0,65492,390.0,2017,2017-01
101102012052,2017-10-06,116.340633,39.891697,10,1.0,82748,565.0,2017,2017-10
101100843491,2016-11-18,116.372513,39.928442,10,1.0,111923,460.0,2016,2016-11
BJCY90021133,2015-09-19,116.505098,39.918019,7,1.0,49606,478.0,2015,2015-09
BJCY89837302,2015-08-08,116.59958,39.926589,7,0.0,26748,132.0,2015,2015-08
101091777435,2016-07-20,116.314787,39.981606,8,1.0,82038,475.0,2016,2016-07
BJCY85370823,2013-02-24,116.571023,39.909615,7,0.0,24070,139.0,2013,2013-02
BJCY87905164,2014-07-20,116.609957,39.91983,7,1.0,27838,270.0,2014,2014-07
BJXC89972553,2015-11-11,116.369558,39.885481,10,1.0,48428,268.0,2015,2015-11
BJXC91684819,2016-03-05,116.333306,39.891491,10,1.0,70220,705.0,2016,2016-03
101101529675,2017-06-11,116.445582,39.974979,7,1.0,75530,592.0,2017,2017-06
101100207791,2016-09-29,116.378553,39.968971,10,0.0,107477,920.0,2016,2016-09
BJCP92101069,2016-05-15,116.335484,40.09232,6,1.0,36262,313.1,2016,2016-05
101101062619,2017-01-19,116.379998,40.040559,8,0.0,77773,704.0,2017,2017-01
BJDC88775653,2015-10-17,116.443702,39.900208,1,1.0,53179,379.0,2015,2015-10
101101854665,2017-08-01,116.340034,39.885855,10,1.0,92996,778.0,2017,2017-08
BJDC84480186,2012-05-26,116.432755,39.953692,1,1.0,32107,187.5,2012,2012-05
101092108234,2016-08-24,116.50891,39.920223,7,1.0,44337,660.0,2016,2016-08
101101745565,2017-07-06,116.588913,39.922146,7,0.0,48737,428.0,2017,2017-07
BJFT88995161,2015-05-14,116.402495,39.846914,2,1.0,25120,184.5,2015,2015-05
BJCY85945192,2014-04-26,116.38483,40.014138,7,1.0,62913,1220.0,2014,2014-04
BJCY87776470,2014-10-29,116.477963,40.00789,7,1.0,31276,349.0,2014,2014-10
BJCY91118276,2015-12-17,116.57395,39.92878,7,1.0,28963,269.0,2015,2015-12
BJDC91818407,2016-03-27,116.420099,39.901616,1,1.0,81002,220.0,2016,2016-03
101091863470,2016-07-26,116.330198,40.074228,6,0.0,41327,400.0,2016,2016-07
BJSY91325153,2016-04-06,116.571828,40.066974,13,0.0,19816,315.0,2016,2016-04
BJSJ88023025,2014-09-18,116.162938,39.939005,9,0.0,22522,139.0,2014,2014-09
101092353681,2016-07-25,116.37921,40.01336,7,1.0,59406,270.0,2016,2016-07
BJHD91529212,2016-02-25,116.293444,40.037849,8,0.0,46129,283.0,2016,2016-02
BJCY91754180,2016-03-20,116.441781,39.991956,7,0.0,61683,330.0,2016,2016-03
BJCY86932019,2014-07-06,116.594761,39.936939,7,0.0,29999,297.5,2014,2014-07
101100717750,2016-12-05,116.485616,40.006096,7,1.0,67406,851.0,2016,2016-12
101101758773,2017-07-22,116.487808,39.889853,7,0.0,51991,320.0,2017,2017-07
101100990918,2017-03-09,116.128533,39.723864,5,1.0,24874,375.0,2017,2017-03
BJXC86807150,2013-12-13,116.37913,39.887761,10,1.0,48067,230.0,2013,2013-12
BJCY91570861,2016-02-29,116.493655,39.905367,7,1.0,31759,160.0,2016,2016-02
BJXC89009887,2015-10-25,116.343502,39.894784,10,1.0,37326,360.0,2015,2015-10
BJHD86154723,2013-07-30,116.333303,39.974734,8,1.0,59804,244.0,2013,2013-07
BJYZ90215005,2015-12-20,116.524384,39.824643,4,0.0,20182,142.0,2015,2015-12
101101582045,2017-06-21,116.497474,39.810115,3,1.0,65742,611.0,2017,2017-06
BJDX87449181,2014-05-02,116.349167,39.742059,4,0.0,26245,271.0,2014,2014-05
101100458629,2016-09-11,116.476213,39.897851,7,1.0,55834,335.0,2016,2016-09
101100391036,2016-08-13,116.685959,39.937078,11,0.0,36229,435.0,2016,2016-08
BJCY91378542,2016-02-28,116.47773,40.002156,7,1.0,47477,396.0,2016,2016-02
BJHD86702472,2013-12-25,116.287408,39.906807,8,0.0,40450,396.0,2013,2013-12
BJDX91938989,2016-04-14,116.344557,39.780149,4,1.0,29396,218.0,2016,2016-04
BJCP88369724,2015-03-13,116.382471,40.08696,6,1.0,29932,132.0,2015,2015-03
BJSY91320625,2016-02-28,116.670768,40.209956,13,0.0,27761,265.0,2016,2016-02
BJHD91332887,2016-01-14,116.314787,39.981606,8,1.0,82677,398.5,2016,2016-01
BJCY90819665,2015-12-24,116.453206,39.965662,7,1.0,46415,279.0,2015,2015-12
BJCY89840077,2015-08-01,116.512261,39.943052,7,0.0,34603,170.0,2015,2015-08
BJDC85577083,2013-03-22,116.444673,39.880008,1,1.0,41123,153.8,2013,2013-03
BJFT91609900,2016-02-26,116.359122,39.851219,2,1.0,36895,298.0,2016,2016-02
BJSJ89635636,2015-09-27,116.169365,39.937036,9,0.0,25201,179.0,2015,2015-09
101100440029,2016-09-12,116.457814,39.770511,4,0.0,29352,230.0,2016,2016-09
BJCY87901287,2014-09-29,116.522105,39.922247,7,1.0,31405,197.0,2014,2014-09
101102001301,2017-10-16,116.530566,39.827437,4,0.0,47414,264.0,2017,2017-10
BJDX85190428,2013-02-26,116.293654,39.79232,4,0.0,16012,160.0,2013,2013-02
BJFT90276675,2016-02-22,116.444313,39.862824,2,0.0,31949,420.0,2016,2016-02
BJFT91437219,2016-02-16,116.24585,39.839535,2,0.0,22683,206.0,2016,2016-02
